left,right,label
No Country for Old Men,Howl's Moving Castle,Howl's Moving Castle
Spirited Away,Parasite,Parasite
Spirited Away,Howl's Moving Castle,Howl's Moving Castle
Interstellar,The Truman Show,Interstellar
Parasite,Logan,Logan
The Dark Knight,Interstellar,Interstellar
The Dark Knight,Shutter Island,Shutter Island
Parasite,Howl's Moving Castle,Parasite
Parasite,WALL·E,WALL·E
No Country for Old Men,Logan,Logan
Parasite,The Truman Show,Parasite
Interstellar,No Country for Old Men,Interstellar
Spirited Away,Logan,Spirited Away
The Lord of the Rings: The Return of the King,No Country for Old Men,The Lord of the Rings: The Return of the King
The Lord of the Rings: The Return of the King,WALL·E,WALL·E
WALL·E,Your Name,WALL·E
The Truman Show,Howl's Moving Castle,The Truman Show
The Truman Show,No Country for Old Men,The Truman Show
Interstellar,Howl's Moving Castle,Interstellar
Interstellar,Your Name,Interstellar
WALL·E,Logan,Logan
The Lord of the Rings: The Return of the King,The Truman Show,The Lord of the Rings: The Return of the King
Your Name,Logan,Logan
The Dark Knight,WALL·E,WALL·E
Interstellar,Spirited Away,Interstellar
Your Name,The Truman Show,Your Name
Interstellar,WALL·E,Interstellar
The Dark Knight,No Country for Old Men,No Country for Old Men
Parasite,No Country for Old Men,Parasite
Shutter Island,Howl's Moving Castle,Shutter Island
Spirited Away,WALL·E,WALL·E
Shutter Island,Logan,Logan
The Lord of the Rings: The Return of the King,Howl's Moving Castle,The Lord of the Rings: The Return of the King
The Truman Show,Shutter Island,Shutter Island
The Dark Knight,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King
The Lord of the Rings: The Return of the King,Interstellar,Interstellar
The Lord of the Rings: The Return of the King,Spirited Away,The Lord of the Rings: The Return of the King
Parasite,Your Name,Your Name
Your Name,No Country for Old Men,Your Name
WALL·E,The Truman Show,WALL·E
WALL·E,Howl's Moving Castle,WALL·E
Parasite,Shutter Island,Shutter Island
Howl's Moving Castle,Logan,Logan
Shutter Island,No Country for Old Men,Shutter Island
Spirited Away,No Country for Old Men,Spirited Away
